id,name,play_difficulty,learn_difficulty,min_players,max_players,length,copies
346703,7 Wonders: Architects,0,0,2,7,25,1
172818,Above and Below,0,0,2,4,90,1
200680,Agricola (Revised Edition),0,0,1,4,120,1
342942,Ark Nova,0,0,1,4,150,1
15987,Arkham Horror,0,0,1,8,240,1
143741,BANG! The Dice Game,0,0,3,8,15,1
358504,Betrayal at House on the Hill: 3rd Edition,0,0,3,6,60,1
158564,Billionaire Banshee,0,0,2,15,60,1
170216,Blood Rage,0,0,2,4,90,1
224517,Brass: Birmingham,0,0,2,4,120,1
260605,Camel Up (Second Edition),0,0,3,8,45,1
171131,Captain Sonar,0,0,2,8,60,1
310873,Carnegie,0,0,1,4,120,1
271320,The Castles of Burgundy,0,0,1,4,120,1
195137,Catacombs (Third Edition),0,0,2,5,90,1
175117,Celestia,0,0,2,6,30,1
205398,Citadels,0,0,2,8,60,1
233247,Civilization: A New Dawn,0,0,2,4,120,1
265784,Cleopatra and the Society of Architects: Deluxe Edition,0,0,2,4,60,1
34297,The Climbers,0,0,2,5,45,1
245638,Coimbra,0,0,2,4,90,1
158899,Colt Express,0,0,2,6,40,1
124361,Concordia,0,0,2,5,100,1
269725,Corinth,0,0,2,4,30,1
284083,The Crew: The Quest for Planet Nine,0,0,2,5,20,1
298069,Cubitos,0,0,2,4,60,1
322708,Descent: Legends of the Dark,0,0,1,4,180,1
223321,Detective: A Modern Crime Board Game,0,0,1,5,180,1
299933,Dice Flick,0,0,2,4,20,1
92828,Dixit: Odyssey,0,0,3,12,30,1
370591,Dorfromantik: The Board Game,0,0,1,6,60,1
283355,Dune,0,0,2,6,180,1
316554,Dune: Imperium,0,0,1,4,120,1
100423,Elder Sign,0,0,1,8,90,1
249381,The Estates,0,0,2,5,60,1
232918,Fallout,0,0,1,4,180,1
293889,Fallout Shelter: The Board Game,0,0,2,4,90,1
258309,First Contact,0,0,2,7,40,1
336986,Flamecraft,0,0,1,5,60,1
199478,Flamme Rouge,0,0,2,4,45,1
169124,Flick 'em Up!,0,0,2,10,45,1
281194,Flick of Faith,0,0,2,4,40,1
175324,Fog of Love,0,0,2,2,120,1
