name,author,pages,tags,copies
Call of Cthulu,H.P. Lovecraft,44,"literature, novel, horror, fiction, fantasy",1
Call of Cthulu (Sverige),H.P. Lovecraft,45,"literature, novel, horror, fiction, fantasy",1
Dungeons and Dragons: Dungeon Master's Guide,Wizards of the Coast ,320,"ttrpg, rules, fantasy",1
Dungeons and Dragons: Monster Manual,Wizards of the Coast ,352,"ttrpg, rules, fantasy",1
Dungeons and Dragons: Player's Handbook,Wizards of the Coast ,320,"ttrpg, rules, fantasy",1
Cyberpunk Red: The Roleplaying Game of the Dark Future,Michael Pondsmith,455,"ttrpg, rules, science fiction",1
Vampire: The Masquerade,Kenneth Hite,425,"ttrpg, rules, fantasy, dark fantasy",1
Dark Souls: The Roleplaying Game,Richard August,380,"ttrpg, rules, fantasy, dark fantasy",1
Blade Runner: The Roleplaying Game,Joe LeFavi,231,"ttrpg, rules, science fiction",1
Blades in the Dark,John Harper,327,"ttrpg, rules, fantasy",1
Monster of the Week,Steve Hickey,320,"ttrpg, rules, fantasy",1
Night Witches,L.J. Adlington,80,"novel, fantasy",1
Torchbearer: Scholar's Guide,Thor Olavsrud,320,"ttrpg, rules, fantasy",1
Torchbearer Dungeoneer's Handbook,Thor Olavsrud,256,"ttrpg, rules, fantasy",1
Pirate Borg,Luke Stratton,167,"ttrpg, rules, fantasy, horror",1
Mork Borg,Pelle Nilsson,88,"ttrpg, rules, fantasy, dark fantasy, horror",1
Alice is Missing,Spenser Starke,48,"ttrpg, rules, mystery",1
A Mind Forever Voyaging: A History of Storytelling in Video Games,Dylan Holmes,248,"textbook, academic, video games, narrative, history",1
Dialect: A Game About Language and How It Dies,Hakan Seyalioglu,150,"academic, board games",1
Tabletop Gaming Manual,Matt Thrower,192,"academic, board games",1
Postmortems,S.A. Magnusson,358,"literature, novel, fantasy",1
"Computer Games: Text, Narrative and Play",Diane Carr,224,"academic, video games",1
Introduction to Game Development,Steve Rabin,980,"textbook, academic, video games, programming",1
HCI Beyond the GUI,Philip Kortum,480,"textbook, academic, interface design",1
HTML5 Games 2nd Edition,Aditya Ravi Shankar,426,"textbook, academic, video games, programming",1
Holistic Mobile Game Development with Unity,Penny de Byl,576,"textbook, academic, video games, programming",1
Beginning Math and Physics for Game Programmers,"Wendy Stahler, Dustin Clingman, Kaveh Kahrizi",475,"textbook, academic, video games, math, programming",1
Distinctive Design,Alexander Dawson,330,"textbook, academic, interface design, programming",1
Designing Virtual Worlds,Richard A. Bartle,741,"textbook, academic, video games, programming",1
HTML5 Game Development Insights,"Colt McAnlis, Peter Lubbers, Brandon Jones, Sean Bennett,",476,"textbook, academic, video games, programming",1
Quests,Jeff Howard,222,"ttrpg, narrative, textbook, game design",1
Level Up! The Guide to Great Video Game Design,Scott Rogers,520,"textbook, game design, video games",1
Game Character Creation with Blender and Unity,Chris Totten,320,"textbook, game art, video games, programming",1
Vintage Games,"Bill Loguidice, Matt Barton",408,"textbook, game design, video games",1
